	GO:0016310~phosphorylation	ATP-binding	Nucleotide-binding	GO:0005524~ATP binding	GO:0000166~nucleotide binding	
hypothetical protein(T24H7.2)	0	1	1	1	1	
Alanine--tRNA ligase, cytoplasmic(aars-2)	0	1	1	1	1	
Kinesin-like protein vab-8(vab-8)	0	1	1	1	1	
P-GlycoProtein related(pgp-2)	0	1	1	1	1	
Putative pachytene checkpoint protein 2(pch-2)	0	1	1	1	1	
ABC transporter ATP-binding protein/permease wht-1(wht-1)	0	1	1	1	1	
Kinesin-like protein(klp-16)	0	1	1	1	1	
Calcium/calmodulin-dependent protein kinase kinase(ckk-1)	1	1	1	1	1	
Uridine kinase(F19B6.1)	1	1	1	1	1	
Tyrosine-protein kinase(Y47G6A.5)	1	1	1	1	1	
Dual specificity tyrosine-phosphorylation-regulated kinase mbk-2(mbk-2)	1	1	1	1	1	
Serine/threonine-protein kinase WNK(wnk-1)	1	1	1	1	1	
Serine/threonine-protein kinase prk-2(prk-2)	1	1	1	1	1	
Serine/threonine-protein kinase unc-51(unc-51)	1	1	1	1	1	
Casein kinase I gamma(csnk-1)	1	1	1	1	1	
Serine/threonine-protein kinase WARTS homolog(wts-1)	1	1	1	1	1	
Putative ribosomal protein S6 kinase alpha-1(rskn-1)	1	1	1	1	1	
Serine/threonine-protein kinase flr-4(flr-4)	1	1	1	1	1	
Pim (mammalian oncogene) Related Kinase(prk-1)	1	1	1	1	1	
hypothetical protein(F32D8.1)	1	1	1	1	1	
Casein kinase I isoform delta(kin-20)	1	1	1	1	1	
Mitogen-activated protein kinase sma-5(sma-5)	1	1	1	1	1	
Cyclin-dependent-like kinase 5(cdk-5)	1	1	1	1	1	
Putative tyrosine-protein kinase C03B1.5(C03B1.5)	1	1	1	1	1	
Serine/threonine kinase NLK(lit-1)	1	1	1	1	1	
Protein kinase C(pkc-2)	1	1	1	1	1	
Serine/threonine-protein kinase sax-1(sax-1)	1	1	1	1	1	
Probable glycerol kinase(R11F4.1)	1	1	1	1	1	
Putative tyrosine-protein kinase F09A5.2(F09A5.2)	1	1	1	1	1	
Tyrosine-protein kinase receptor svh-2(svh-2)	1	1	1	1	1	
Serine/threonine-protein kinase par-1(par-1)	1	1	1	1	1	
Phosphotransferase(hxk-1)	1	1	1	1	1	
Mitogen-activated protein kinase kinase kinase mlk-1(mlk-1)	1	1	1	1	1	
Homeodomain-interacting protein kinase 1(hpk-1)	1	1	1	1	1	
Thymidylate kinase(dtmk-1)	1	1	1	1	1	
G protein-coupled receptor kinase 1(grk-1)	1	1	1	1	1	
Cyclin-dependent kinase 4 homolog(cdk-4)	1	1	1	1	1	
DiacylGlycerol Kinase(dgk-2)	1	1	1	1	1	
Serine/threonine-protein kinase tousled-like 1(tlk-1)	1	1	1	1	1	
Adenylate kinase(let-754)	1	1	1	1	1	
Protein Kinase, cGMP-dependent(pkg-2)	1	1	1	1	1	
Serine/threonine-protein kinase RIO3(riok-3)	1	1	1	1	1	
