peak.position	peak	old.mapping	new.mapping	old.insideFeature	new.insideFeature	old.distance	new.distance	mapping.changed	randoms
chrIV:16684119-16684684	ELT2peak06219	spp-3 (WBGene00004988)	Y51H4A.941 (WBGene00255553)	overlapEnd	unmapped	65	8821	TRUE	45
chrV:19083752-19084263	ELT2peak08058	W02H3.1 (WBGene00012217)	nhr-95 (WBGene00003685)	overlapStart	upstream	292	1111	TRUE	46
chrV:20410195-20411322	ELT2peak08167	Y57G11B.2 (WBGene00013295)	F53H2.3 (WBGene00010006)	upstream	inside	3061	10713	TRUE	47
chrV:14415165-14415671	ELT2peak07703	R07E3.1 (WBGene00011102)	C15H11.11 (WBGene00007619)	overlapStart	upstream	285	143	TRUE	48
chrI:13559683-13560286	ELT2peak01313	C29F3.7 (WBGene00007807)	Y87G2A.16 (WBGene00013602)	overlapStart	upstream	226	161	TRUE	49
chrV:7809769-7810492	ELT2peak06873	Y4C6B.5 (WBGene00021159)	ZK742.3 (WBGene00022813)	upstream	overlapStart	171	258	TRUE	50
chrX:3731518-3732205	ELT2peak08579	Y75B7AR.1 (WBGene00022287)	aex-4 (WBGene00006454)	downstream	overlapEnd	935	245	TRUE	51
chrII:13491192-13492330	ELT2peak02945	ZK1127.6 (WBGene00022853)	alh-7 (WBGene00000113)	overlapEnd	overlapStart	245	544	TRUE	52
chrV:8348792-8349582	ELT2peak06931	nhr-46 (WBGene00003636)	C08D8.1 (WBGene00015592)	inside	inside	3167	327	TRUE	53
chrIV:10507292-10508560	ELT2peak05696	mom-1 (WBGene00003394)	C02F4.4 (WBGene00007264)	inside	unmapped	1172	5327	TRUE	54
chrIII:7719137-7720677	ELT2peak03993	C01B9.4 (WBGene00194890)	ncl-1 (WBGene00003559)	inside	overlapStart	2583	654	TRUE	55
chrIII:4271953-4273010	ELT2peak03536	ztf-27 (WBGene00011661)	R10E4.1 (WBGene00011198)	overlapEnd	overlapEnd	203	504	TRUE	56
chrX:3466911-3467655	ELT2peak08545	T24D5.4 (WBGene00011992)	sax-3 (WBGene00004729)	upstream	upstream	736	986	TRUE	57
chrV:13267921-13268491	ELT2peak07560	unc-43 (WBGene00006779)	zip-5 (WBGene00007932)	unmapped ± 5Kb	inside	7546	1329	TRUE	58
chrIII:13340828-13341310	ELT2peak04611	hlh-13 (WBGene00001957)	nud-1 (WBGene00003829)	upstream	upstream	231	217	TRUE	59
chrV:6053134-6053813	ELT2peak06697	hlh-30 (WBGene00020930)	R01B10.6 (WBGene00019808)	inside	overlapStart	1799	241	TRUE	60
chrII:3267755-3268432	ELT2peak01669	par-6 (WBGene00003921)	F02E11.7 (WBGene00195073)	overlapStart	inside	6	92	TRUE	61
chrV:5272527-5273957	ELT2peak06613	F22F1.2 (WBGene00017714)	natc-2 (WBGene00015074)	upstream	upstream	1710	117	TRUE	62
chrV:12560351-12561253	ELT2peak07475	nhr-34 (WBGene00003627)	sel-1 (WBGene00004759)	inside	overlapStart	958	359	TRUE	63
chrIII:8926438-8926919	ELT2peak04154	Y53F4B.9 (WBGene00013156)	ZK643.7 (WBGene00014038)	overlapStart	overlapStart	28	91	TRUE	64
chrI:13796992-13797775	ELT2peak01331	gfi-2 (WBGene00001582)	W09G3.7 (WBGene00012370)	inside	overlapEnd	479	353	TRUE	65
chrIII:1207787-1208265	ELT2peak03230	T01B7.5 (WBGene00011311)	orc-3 (WBGene00022488)	overlapStart	overlapStart	228	161	TRUE	66
chrV:5513602-5514075	ELT2peak06632	CC8.2 (WBGene00016987)	hpo-15 (WBGene00016061)	upstream	overlapStart	92	228	TRUE	67
chrIV:2193641-2194494	ELT2peak04842	clec-5 (WBGene00016450)	hrpu-2 (WBGene00022134)	overlapStart	inside	109	4377	TRUE	68
chrIII:4502605-4503477	ELT2peak03570	mnk-1 (WBGene00011304)	cct-5 (WBGene00000380)	inside	inside	549	3414	TRUE	69
chrIV:8948964-8949536	ELT2peak05517	hsp-25 (WBGene00002023)	tpra-1 (WBGene00008366)	inside	unmapped	1995	6953	TRUE	70
chrI:4317038-4317516	ELT2peak00350	C34B4.2 (WBGene00007907)	anc-1 (WBGene00000140)	inside	upstream	1268	517	TRUE	71
chrIV:9647676-9648398	ELT2peak05588	mrpl-44 (WBGene00008514)	amph-1 (WBGene00010272)	overlapStart	overlapStart	22	258	TRUE	72
chrI:6731670-6732147	ELT2peak00638	zipt-11 (WBGene00019077)	lbp-5 (WBGene00002257)	overlapStart	inside	169	133	TRUE	73
chrX:7901800-7902298	ELT2peak09096	K11E4.1 (WBGene00010773)	C39D10.11 (WBGene00043983)	inside	upstream	463	982	TRUE	74
chrIV:12706277-12706952	ELT2peak05956	xpb-1 (WBGene00013441)	C27D8.4 (WBGene00007780)	overlapStart	overlapEnd	114	197	TRUE	75
chrV:5780682-5781348	ELT2peak06663	F37C4.4 (WBGene00018144)	F44E7.5 (WBGene00018427)	upstream	overlapStart	653	265	TRUE	76
chrX:7318650-7319112	ELT2peak09046	crt-1 (WBGene00000802)	spp-4 (WBGene00004989)	overlapEnd	overlapStart	264	148	TRUE	77
chrV:1870218-1871208	ELT2peak06406	nhr-41 (WBGene00022423)	T10B5.4 (WBGene00020390)	inside	overlapEnd	4306	203	TRUE	78
chrX:2541084-2541734	ELT2peak08429	C23H4.4 (WBGene00007693)	F52H2.3 (WBGene00018715)	inside	upstream	260	31	TRUE	79
chrIV:11469869-11470613	ELT2peak05813	unc-49 (WBGene00006784)	wht-2 (WBGene00007513)	downstream	overlapStart	478	316	TRUE	80
chrX:16041768-16042236	ELT2peak10080	C30E1.2 (WBGene00016251)	B0395.3 (WBGene00007175)	downstream	upstream	2614	2254	TRUE	81
chrX:6503058-6503735	ELT2peak08917	C03A7.13 (WBGene00015371)	cdf-1 (WBGene00000393)	inside	inside	1070	878	TRUE	82
chrI:14850166-14850910	ELT2peak01396	dao-5 (WBGene00000931)	aex-5 (WBGene00000088)	overlapStart	inside	139	112	TRUE	83
chrIV:15220871-15221353	ELT2peak06155	alh-10 (WBGene00000116)	Y40H7A.11 (WBGene00012748)	inside	upstream	267	525	TRUE	84
chrX:661937-662455	ELT2peak08271	ftt-2 (WBGene00001502)	rund-1 (WBGene00020572)	upstream	upstream	2909	160	TRUE	85
chrV:9930515-9931269	ELT2peak07121	cap-1 (WBGene00000292)	suds-3 (WBGene00044204)	overlapStart	overlapStart	199	250	TRUE	86
chrIV:10176202-10176693	ELT2peak05647	acox-1.5 (WBGene00008167)	rack-1 (WBGene00010556)	inside	overlapStart	1299	13	TRUE	87
chrX:13401232-13401936	ELT2peak09784	srg-64 (WBGene00005221)	F02C12.1 (WBGene00008515)	overlapEnd	upstream	62	147	TRUE	88
chrI:10411290-10412267	ELT2peak01065	C54G4.9 (WBGene00008318)	blmp-1 (WBGene00003847)	overlapEnd	inside	316	1988	TRUE	89
chrX:17633086-17633615	ELT2peak10261	hrg-2 (WBGene00010473)	H18N23.2 (WBGene00019211)	overlapEnd	inside	96	7128	TRUE	90
chrX:14534003-14534794	ELT2peak09924	K08B5.1 (WBGene00019518)	T24C2.5 (WBGene00011984)	inside	upstream	260	3103	TRUE	91
chrI:10231552-10232097	ELT2peak01046	R02D5.24 (WBGene00235335)	csnk-1 (WBGene00013709)	includeFeature	upstream	253	338	TRUE	92
chrX:3049179-3049855	ELT2peak08488	cdf-2 (WBGene00011821)	twk-26 (WBGene00006679)	overlapStart	downstream	202	510	TRUE	93
chrV:385387-386145	ELT2peak06302	T07A9.14 (WBGene00044789)	lipl-5 (WBGene00022642)	overlapStart	overlapStart	125	326	TRUE	94
chrV:6288666-6289171	ELT2peak06731	K08D10.14 (WBGene00219216)	K12B6.11 (WBGene00195164)	overlapEnd	overlapStart	36	241	TRUE	95
chrII:13333351-13333834	ELT2peak02933	F38A6.4 (WBGene00009528)	sam-10 (WBGene00012990)	upstream	upstream	1302	2526	TRUE	96
chrII:9125086-9125564	ELT2peak02475	try-1 (WBGene00006619)	jun-1 (WBGene00012005)	overlapStart	inside	78	6649	TRUE	97
chrIII:6872462-6873005	ELT2peak03882	T03G6.3 (WBGene00020195)	K04C2.3 (WBGene00019381)	inside	upstream	2005	43	TRUE	98
chrV:19463102-19463923	ELT2peak08101	ent-4 (WBGene00008123)	Y43F8B.25 (WBGene00195177)	inside	overlapEnd	842	164	TRUE	99
chrV:12298134-12298809	ELT2peak07440	lec-8 (WBGene00002271)	frm-7 (WBGene00001493)	inside	upstream	10	3675	TRUE	100
chrX:6175539-6176216	ELT2peak08872	hsp-6 (WBGene00002010)	T25B2.3 (WBGene00077592)	overlapEnd	overlapStart	424	87	TRUE	101
chrV:7506165-7506643	ELT2peak06850	kreg-1 (WBGene00018725)	str-31 (WBGene00006097)	overlapStart	downstream	100	271	TRUE	102
chrIV:12971849-12972646	ELT2peak06002	bgal-2 (WBGene00019225)	F55G11.4 (WBGene00010124)	overlapStart	upstream	245	978	TRUE	103
chrIII:2576612-2577289	ELT2peak03359	pigx-1 (WBGene00018634)	Y54F10AR.1 (WBGene00021854)	downstream	upstream	1817	889	TRUE	104
chrI:8606179-8607206	ELT2peak00849	calu-2 (WBGene00017240)	idha-1 (WBGene00009664)	overlapStart	overlapEnd	144	225	TRUE	105
chrII:3991981-3993432	ELT2peak01715	prx-11 (WBGene00004196)	Y14H12A.1 (WBGene00021190)	downstream	overlapStart	591	222	TRUE	106
chrIV:10342218-10342829	ELT2peak05671	tlk-1 (WBGene00006579)	unc-43 (WBGene00006779)	inside	inside	3746	7388	TRUE	107
chrII:13834306-13835186	ELT2peak02989	C30G12.4 (WBGene00016276)	ins-37 (WBGene00002120)	downstream	overlapEnd	981	83	TRUE	108
chrX:7232422-7232890	ELT2peak09026	galt-1 (WBGene00019763)	F46H5.3 (WBGene00018519)	overlapStart	inside	294	2092	TRUE	109
chrII:11540412-11540981	ELT2peak02771	F13H8.5 (WBGene00017438)	F54D5.12 (WBGene00010055)	overlapEnd	overlapStart	376	218	TRUE	110
chrI:3787568-3788498	ELT2peak00292	nxt-1 (WBGene00003836)	rpl-13 (WBGene00004425)	overlapStart	overlapStart	194	411	TRUE	111
chrX:15779471-15780031	ELT2peak10063	T20F7.1 (WBGene00020630)	Y7A5A.3 (WBGene00012409)	upstream	downstream	1007	1594	TRUE	112
chrI:3423445-3424161	ELT2peak00259	plk-2 (WBGene00004043)	clik-3 (WBGene00019361)	unmapped ± 5Kb	inside	6098	50	TRUE	113
chrIV:10252231-10252797	ELT2peak05659	gei-13 (WBGene00001570)	daf-14 (WBGene00000910)	downstream	inside	53	1585	TRUE	114
chrII:1736265-1736855	ELT2peak01539	M04D5.3 (WBGene00077770)	ceh-83 (WBGene00018446)	upstream	overlapStart	47	268	TRUE	115
chrV:15136687-15137260	ELT2peak07773	ragc-1 (WBGene00012497)	aipl-1 (WBGene00010685)	overlapStart	overlapStart	74	114	TRUE	116
chrI:11074960-11075943	ELT2peak01129	F43G9.4 (WBGene00009667)	hmr-1 (WBGene00001980)	overlapStart	overlapEnd	264	185	TRUE	117
chrX:9337753-9338302	ELT2peak09282	T05B11.1 (WBGene00020245)	apa-2 (WBGene00000161)	upstream	inside	223	934	TRUE	118
chrX:8109460-8110192	ELT2peak09128	aakb-1 (WBGene00010115)	K07E3.9 (WBGene00194670)	inside	downstream	663	250	TRUE	119
chrIII:12317469-12318153	ELT2peak04513	mop-25.1 (WBGene00019827)	Y75B8A.28 (WBGene00013559)	inside	upstream	3627	955	TRUE	120
chrII:9677452-9677920	ELT2peak02555	Y116F11A.6 (WBGene00013819)	arc-1 (WBGene00000180)	upstream	downstream	3922	242	TRUE	121
chrV:13369536-13370256	ELT2peak07571	F13B12.1 (WBGene00008729)	tag-260 (WBGene00010867)	upstream	overlapEnd	406	173	TRUE	122
chrX:3115703-3116853	ELT2peak08501	nhr-212 (WBGene00020153)	mai-1 (WBGene00003124)	overlapStart	overlapStart	256	315	TRUE	123
chrX:10761821-10762324	ELT2peak09439	C05G5.1 (WBGene00007347)	R07A4.3 (WBGene00011074)	inside	downstream	1296	3681	TRUE	124
chrX:8548691-8549625	ELT2peak09176	ppt-1 (WBGene00004092)	D2021.4 (WBGene00017048)	overlapStart	overlapStart	252	365	TRUE	125
chrIII:5853204-5853944	ELT2peak03750	tars-1 (WBGene00006617)	ddx-23 (WBGene00017162)	overlapStart	overlapStart	118	65	TRUE	126
chrX:6764329-6765017	ELT2peak08970	C29F7.1 (WBGene00007810)	irk-1 (WBGene00002149)	upstream	downstream	499	1066	TRUE	127
chrII:11301502-11303342	ELT2peak02740	cgt-3 (WBGene00019127)	samp-1 (WBGene00011994)	inside	overlapStart	1829	451	TRUE	128
chrI:3710544-3711048	ELT2peak00284	Y71F9AL.10 (WBGene00022115)	F21A9.1 (WBGene00017650)	overlapEnd	overlapStart	336	30	TRUE	129
chrI:2096809-2097556	ELT2peak00144	mab-20 (WBGene00003111)	npp-13 (WBGene00003799)	overlapStart	overlapStart	461	210	TRUE	130
chrX:15353893-15354562	ELT2peak10020	got-1.2 (WBGene00020146)	nfki-1 (WBGene00007877)	downstream	upstream	23	676	TRUE	131
chrIII:9521627-9522368	ELT2peak04220	ubc-20 (WBGene00006715)	ZK1098.1 (WBGene00014218)	overlapStart	overlapStart	99	293	TRUE	132
chrIV:4544123-4544883	ELT2peak05076	wht-1 (WBGene00015479)	ZK185.5 (WBGene00044481)	overlapEnd	inside	342	1035	TRUE	133
chrIV:6648452-6649330	ELT2peak05259	dlg-1 (WBGene00001006)	hil-7 (WBGene00001858)	upstream	downstream	2698	1516	TRUE	134
chrV:16292362-16292853	ELT2peak07876	oac-58 (WBGene00019580)	oac-5 (WBGene00007829)	inside	overlapStart	1207	144	TRUE	135
chrV:15657422-15657941	ELT2peak07827	ZK822.10 (WBGene00219456)	F53E4.1 (WBGene00009978)	overlapStart	inside	34	4984	TRUE	136
chrIII:6303207-6304042	ELT2peak03818	ife-5 (WBGene00002063)	F47D12.9 (WBGene00018564)	downstream	overlapStart	491	10	TRUE	137
chrX:5707761-5708438	ELT2peak08812	rft-1 (WBGene00044637)	cat-1 (WBGene00000295)	overlapStart	inside	226	2042	TRUE	138
chrV:5839978-5841848	ELT2peak06673	dct-8 (WBGene00044472)	F26F12.3 (WBGene00017834)	downstream	inside	135	1018	TRUE	139
chrV:5023058-5023885	ELT2peak06592	Y67D8A.2 (WBGene00022059)	cpt-4 (WBGene00019644)	unmapped ± 5Kb	overlapEnd	10209	179	TRUE	140
chrIV:1859309-1859777	ELT2peak04826	T04A8.13 (WBGene00011414)	egl-4 (WBGene00001173)	overlapStart	inside	673	11341	TRUE	141
chrV:17884117-17884910	ELT2peak07981	K08D8.7 (WBGene00185092)	C06H5.6 (WBGene00007394)	overlapStart	inside	292	4074	TRUE	142
chrIII:12658767-12659659	ELT2peak04558	daf-2 (WBGene00000898)	tpst-1 (WBGene00013737)	inside	inside	4197	2627	TRUE	143
chrV:13085197-13086570	ELT2peak07546	daf-14 (WBGene00000910)	C34B4.2 (WBGene00007907)	overlapStart	inside	30	2142	TRUE	144
chrII:11135885-11136385	ELT2peak02714	ins-35 (WBGene00002118)	F40F8.5 (WBGene00009578)	upstream	upstream	409	745	TRUE	145
chrI:3192426-3193143	ELT2peak00245	F32B5.6 (WBGene00017979)	Y54E10A.11 (WBGene00021831)	inside	overlapStart	1299	286	TRUE	146
chrV:8024692-8025399	ELT2peak06895	unc-5 (WBGene00006745)	F43H9.3 (WBGene00018399)	unmapped ± 5Kb	overlapStart	8173	248	TRUE	147
chrIV:12304642-12305322	ELT2peak05914	tra-1 (WBGene00006604)	oac-57 (WBGene00019579)	upstream	inside	2053	180	TRUE	148
chrV:19212189-19212988	ELT2peak08068	hst-2 (WBGene00002029)	nhr-79 (WBGene00003669)	overlapStart	upstream	277	294	TRUE	149
chrI:6074908-6075386	ELT2peak00549	lfe-2 (WBGene00002979)	tres-1 (WBGene00022750)	unmapped ± 5Kb	inside	7145	3509	TRUE	150
chrX:11668766-11669436	ELT2peak09557	glo-4 (WBGene00017195)	T04F8.6 (WBGene00011444)	inside	inside	3460	1639	TRUE	151
chrIII:7710826-7711580	ELT2peak03991	nmy-1 (WBGene00003776)	C03B8.3 (WBGene00015386)	upstream	upstream	2860	729	TRUE	152
chrI:1229169-1229855	ELT2peak00087	mrpl-38 (WBGene00021327)	Y48G8AL.13 (WBGene00021691)	inside	overlapStart	1462	113	TRUE	153
chrI:4155506-4156226	ELT2peak00327	rom-5 (WBGene00004404)	R12E2.8 (WBGene00020034)	inside	overlapEnd	1366	36	TRUE	154
chrIV:8138938-8139630	ELT2peak05419	prp-8 (WBGene00004187)	pmk-3 (WBGene00004057)	upstream	overlapStart	153	281	TRUE	155
chrII:4571006-4571944	ELT2peak01762	clec-31 (WBGene00009854)	vab-1 (WBGene00006868)	overlapEnd	upstream	86	56	TRUE	156
chrV:9373413-9374165	ELT2peak07054	dyci-1 (WBGene00015927)	E02C12.8 (WBGene00017093)	upstream	overlapStart	650	200	TRUE	157
chrX:4512749-4514279	ELT2peak08671	cyp-33C7 (WBGene00018260)	spr-3 (WBGene00005008)	inside	overlapStart	386	180	TRUE	158
chrV:5018008-5018479	ELT2peak06591	K07E3.1 (WBGene00019490)	srr-4 (WBGene00005655)	overlapEnd	upstream	647	745	TRUE	159
chrV:13374543-13375289	ELT2peak07574	F13B12.3 (WBGene00008731)	tag-260 (WBGene00010867)	inside	inside	698	4460	TRUE	160
chrIII:10435946-10436436	ELT2peak04338	fbxa-77 (WBGene00022484)	M03C11.8 (WBGene00010845)	overlapStart	overlapStart	41	42	TRUE	161
chrIV:14576421-14577171	ELT2peak06114	cox-5A (WBGene00012553)	Y57G11B.223 (WBGene00255522)	overlapEnd	overlapEnd	43	102	TRUE	162
chrX:10132399-10133229	ELT2peak09361	mlc-6 (WBGene00010554)	T06H11.2 (WBGene00011552)	downstream	upstream	471	2132	TRUE	163
chrI:10729725-10731265	ELT2peak01098	tba-5 (WBGene00006531)	B0205.8 (WBGene00015022)	upstream	overlapStart	752	562	TRUE	164
chrIII:11526258-11527735	ELT2peak04456	ppk-2 (WBGene00004088)	xpb-1 (WBGene00013441)	upstream	overlapStart	625	114	TRUE	165
chrX:14115401-14116142	ELT2peak09878	F28H7.3 (WBGene00009237)	F28H6.7 (WBGene00009235)	overlapStart	overlapStart	293	31	TRUE	166
chrIII:4227340-4228035	ELT2peak03531	ztf-27 (WBGene00011661)	mpk-1 (WBGene00003401)	upstream	inside	2462	73	TRUE	167
chrIV:12277960-12278991	ELT2peak05909	tra-1 (WBGene00006604)	tag-335 (WBGene00016583)	unmapped ± 5Kb	overlapStart	6733	99	TRUE	168
chrIV:4537502-4537980	ELT2peak05074	attf-4 (WBGene00015477)	ZK185.2 (WBGene00022682)	overlapStart	inside	279	949	TRUE	169
chrX:8229071-8230739	ELT2peak09142	W01A11.1 (WBGene00020909)	K02A6.3 (WBGene00019294)	overlapStart	inside	269	1003	TRUE	170
chrIII:6347910-6349634	ELT2peak03824	ras-1 (WBGene00004310)	akap-1 (WBGene00016977)	overlapStart	inside	243	1625	TRUE	171
chrII:13445801-13446780	ELT2peak02936	sod-1 (WBGene00004930)	tbc-14 (WBGene00008444)	overlapStart	inside	557	813	TRUE	172
chrIII:950409-951248	ELT2peak03212	glb-27 (WBGene00012178)	fbxa-67 (WBGene00020457)	overlapEnd	overlapStart	319	261	TRUE	173
chrIV:13727772-13728567	ELT2peak06067	aakg-1 (WBGene00013732)	ent-4 (WBGene00008123)	unmapped ± 5Kb	inside	8033	842	TRUE	174
chrIII:7332946-7333690	ELT2peak03954	tag-10 (WBGene00006404)	F56C9.10 (WBGene00018953)	overlapStart	inside	535	1626	TRUE	175
chrIV:11480342-11481019	ELT2peak05816	acdh-11 (WBGene00012860)	mbf-1 (WBGene00003148)	overlapStart	overlapStart	390	27	TRUE	176
chrI:6079164-6081134	ELT2peak00551	F25H9.2 (WBGene00009135)	tres-1 (WBGene00022750)	overlapStart	upstream	288	269	TRUE	177
chrIII:10319789-10320282	ELT2peak04319	smr-1 (WBGene00004891)	unc-69 (WBGene00006802)	overlapStart	overlapEnd	107	232	TRUE	178
chrX:8259536-8260018	ELT2peak09152	dre-1 (WBGene00001089)	M60.7 (WBGene00019782)	inside	inside	2186	1157	TRUE	179
chrV:2896147-2896650	ELT2peak06478	prmt-6 (WBGene00016023)	pals-32 (WBGene00016281)	overlapStart	overlapStart	263	13	TRUE	180
chrX:4711776-4712540	ELT2peak08699	W02H5.11 (WBGene00194896)	glit-1 (WBGene00018878)	overlapStart	overlapStart	26	261	TRUE	181
chrV:6881689-6882243	ELT2peak06814	F19C7.1 (WBGene00017591)	unc-70 (WBGene00006803)	overlapStart	inside	153	349	TRUE	182
chrII:6328548-6329135	ELT2peak02070	gck-3 (WBGene00013355)	set-4 (WBGene00016313)	inside	downstream	1650	715	TRUE	183
chrV:9425377-9426740	ELT2peak07059	C17H12.12 (WBGene00015937)	F36D4.5 (WBGene00018090)	overlapEnd	overlapStart	282	385	TRUE	184
chrII:2340913-2341463	ELT2peak01599	gst-22 (WBGene00001770)	F43C11.9 (WBGene00018386)	overlapStart	upstream	195	167	TRUE	185
