	IPR001723:Steroid hormone receptor	GO:0003707~steroid hormone receptor activity	DNA-binding region:Nuclear receptor	zinc finger region:NR C4-type	IPR001628:Zinc finger, nuclear hormone receptor-type	IPR013088:Zinc finger, NHR/GATA-type	IPR000536:Nuclear hormone receptor, ligand-binding, core	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	SM00399:ZnF_C4	Receptor	GO:0008270~zinc ion binding	Zinc-finger	GO:0043565~sequence-specific DNA binding	GO:0003700~transcription factor activity, sequence-specific DNA binding	Transcription regulation	DNA-binding	Transcription	GO:0006351~transcription, DNA-templated	GO:0003677~DNA binding	GO:0006355~regulation of transcription, DNA-templated	Nucleus	
Zinc MetalloProtease(zmp-2)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y71H2AM.11)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(T13H5.4)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(C11H1.3)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Drosophila PRicKLe homolog(prkl-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
yeast RBX (ring finger protein) homolog(rbx-2)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y95B8A.8)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(C18B12.4)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Palmitoyltransferase(dhhc-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(pam-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-27(nas-27)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Probable trans-2-enoyl-CoA reductase 2, mitochondrial(Y48A6B.9)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-39(nas-39)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Aminoacylase-1(C06A6.4)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-24(nas-24)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(plr-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Putative carbonic anhydrase 3(cah-3)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y54G2A.40)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(ZK1240.3)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
MIZ-type zinc finger putative transcription factor(miz-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(C27B7.5)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-19(nas-19)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(T07F10.1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y73C8C.8)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Caffeine Induced Death (S. pombe Cid) homolog(cid-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Suppressor of PAr-Two defect(spat-3)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(C26B9.6)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Alanine--tRNA ligase, mitochondrial(aars-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Retinoblastoma Binding Protein Like(rbpl-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Aspartyl aminopeptidase(dnpp-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(F43G6.8)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(F10G7.10)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(F44E7.4)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
LIM domain family(lim-8)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(ZC434.9)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(ZK622.4)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
PeRoXisome assembly factor(prx-2)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Probable methylthioribulose-1-phosphate dehydratase(ZC373.5)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(C32D5.11)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N-Acyl Phosphatidyl Ethanolamine specific phospholipase D (NAPE-PLD) homolog(nape-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Rho-associated protein kinase let-502(let-502)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(F22G12.4)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PIP Kinase(ppk-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
ARI (ubiquitin ligase Ariadne) homolog(ari-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(tag-349)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Ubiquitin-like protein 1(ubl-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(T07D1.2)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Myotubularin-related protein 3(mtm-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
WD repeat and FYVE domain-containing protein 2(wdfy-2)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
DPH3 homolog(dph-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Zinc finger CCCH domain-containing protein 15 homolog(F27D4.4)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Myotubularin-related protein 5(mtm-5)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
MTM (myotubularin) family(mtm-6)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Ubiquitin carboxyl-terminal hydrolase(F07A11.4)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Myotonic dystrophy-Related, Cdc42-binding Kinase homolog(mrck-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Protein kinase C-like 3(pkc-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(F07F6.4)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Serine/threonine-protein kinase dkf-2(dkf-2)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Protein vav-1(vav-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(R05F9.11)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MAD-Like(mdl-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MaX-Like(mxl-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
hypothetical protein(C09E7.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
hypothetical protein(lin-35)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Nuclear Factor of Kappa light polypeptide gene enhancer in b(B)-cells n(nfki-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
hypothetical protein(F28H6.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Dicer Related Helicase(drh-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
HIstone H1 Like(hil-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
hypothetical protein(Y53G8AM.8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
PYruvate Carboxylase(pyc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
BED-type zinc finger putative transcription factor(bed-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
hypothetical protein(K04G2.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
EXOnuclease(exo-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Zinc finger putative Transcription Factor family(ztf-26)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
HMG(hmg-11)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
GMEB (Glucocorticoid Modulatory Element Binding protein) transcriptional regulator homolog(gmeb-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
hypothetical protein(let-526)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
LIGase(lig-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
hypothetical protein(ZC190.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(tag-153)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Suppressor of Ectopic P granules in Autophagy mutant(sepa-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
CYclin L(cyl-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(Y105E8B.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
NOT-Like (yeast CCR4/NOT complex component)(ntl-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(C17E4.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(daf-14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
SWI/SNF nucleosome remodeling complex component(swsn-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
P300/CBP Associated Factor homolog(pcaf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Nuclear anchorage protein 1(anc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Masculinisation Of Germline(mog-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Chromodomain and Helicase Domain protein(chd-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Pre-mRNA-splicing factor 8 homolog(prp-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Yes-associated protein homolog 1(yap-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(Y53F4B.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
WAPL (Drosophila Wings APart-Like cohesin interactor)(wapl-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
C.Elegans Chromodomain protein(cec-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
14-3-3-like protein 2(ftt-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Proteasome subunit alpha type-4(pas-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Target of rapamycin homolog(let-363)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
SHC-transforming protein homolog 1(shc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
DRAP1 corepressor homolog(drap-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Cyclin-dependent kinase inhibitor 1(cki-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
C.Elegans Chromodomain protein(cec-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
UMP-CMP kinase 1(C29F7.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ubiquitin-like protease 4(ulp-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Axin-like protein pry-1(pry-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Proteasome subunit alpha type-2(pas-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Serine/threonine-protein phosphatase PP1-beta(gsp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Splicing factor 3B subunit 6-like protein(C50D2.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Nipped-B-like protein pqn-85(pqn-85)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ribosomal RNA small subunit methyltransferase nep-1(Y39A1A.14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
G1/S-specific cyclin-E(cye-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
CULlin(cul-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Putative H/ACA ribonucleoprotein complex subunit 4(K01G5.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
APoptosis Enhancer(ape-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Nucleoporin ndc-1(npp-22)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable splicing factor, arginine/serine-rich 6(rsp-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable small nuclear ribonucleoprotein Sm D2(snr-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
26S protease regulatory subunit 7(rpt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Tankyrase-like protein(tank-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Cyclin-dependent kinase 12(cdk-12)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mitogen-activated protein kinase pmk-3(pmk-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Homeodomain-interacting protein kinase 1(hpk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(hsr-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
CalciNeurin binding Protein(cnp-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
U3 small nucleolar ribonucleoprotein protein MPP10(Y75B8A.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Pre-rRNA-processing protein pro-1(pro-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable small nuclear ribonucleoprotein E(snr-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Maternal uncoordinated protein 2(mau-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mitotic chromosome and X-chromosome-associated protein mix-1(mix-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Peptidyl-prolyl cis-trans isomerase 4(cyn-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
mRNA cap guanine-N7 methyltransferase(tag-72)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
PSF (yeast Partner of Sld Five) conserved replication factor, GINS complex(psf-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Lamin-1(lmn-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
mRNA transport homolog 4(mtr-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
tRNA (guanine-N(7)-)-methyltransferase(W02B12.10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
