	domain:Protein kinase	active site:Proton acceptor	binding site:ATP	nucleotide phosphate-binding region:ATP	IPR008271:Serine/threonine-protein kinase, active site	IPR017441:Protein kinase, ATP binding site	Serine/threonine-protein kinase	SM00220:S_TKc	GO:0004674~protein serine/threonine kinase activity	IPR000719:Protein kinase, catalytic domain	GO:0004672~protein kinase activity	GO:0006468~protein phosphorylation	IPR011009:Protein kinase-like domain	Kinase	GO:0016301~kinase activity	GO:0016310~phosphorylation	GO:0016740~transferase activity	Transferase	ATP-binding	Nucleotide-binding	GO:0005524~ATP binding	GO:0000166~nucleotide binding	
Daf-12-interacting protein 1(din-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Putative RNA-binding protein R05D3.8(R05D3.8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(Y59E9AL.36)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ribosomal Protein, Small subunit(rps-24)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(mec-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
homologous to Drosophila SQD (squid) protein(sqd-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
HnRNP F homolog(hrpf-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Eukaryotic translation initiation factor 3 subunit G(eif-3.G)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(Y39G10AR.8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(Y55F3AM.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(K10C3.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
TU elongation Factor (EF-Tu), Mitochondrial(tufm-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Splicing factor 3B subunit 6-like protein(C50D2.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ELAV-Type RNA binding-protein family(etr-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
HnRNP F homolog(hrpf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
PolyA Binding protein(pab-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
TIA-1/TIAL RNA binding protein homolog(tiar-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable splicing factor, arginine/serine-rich 6(rsp-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(H35N09.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(F11A10.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
SR Protein (splicing factor)(rsp-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable splicing factor, arginine/serine-rich 5(rsp-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(T04A8.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ACINus (mammalian Apoptotic Chromatin condensation Inducer in the Nucleus) homolog(acin-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(T23H2.3)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1(tps-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Molybdopterin synthase catalytic subunit(T27A3.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
GALacTosyltransferase(galt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
PRotein arginine MethylTransferase(prmt-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-glucuronosyltransferase(ugt-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
TransALDolase-1 homolog(tald-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Hexosyltransferase(F14B6.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-glucuronosyltransferase(ugt-26)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-53)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
DNA PRImase homolog(pri-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable histone-lysine N-methyltransferase lin-59(lin-59)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-64)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
O-ACyltransferase homolog(oac-50)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
mRNA cap guanine-N7 methyltransferase(tag-72)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Membrane Bound O-Acyl transferase, MBOAT(mboa-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Alpha-1,4 glucan phosphorylase(T22F3.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Polypeptide N-acetylgalactosaminyltransferase 5(gly-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Carnitine Palmitoyl Transferase(cpt-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
ACyLtransferase-like(acl-14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Glutathione S-Transferase(gst-43)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Catechol-O-MethylTransferase family(comt-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative fatty acid elongation protein 3(elo-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Heparan SulphoTransferase(hst-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Histone-lysine N-methyltransferase(set-16)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Aspartate aminotransferase(got-2.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
tRNA (guanine-N(7)-)-methyltransferase(W02B12.10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative UDP-glucuronosyltransferase ugt-50(ugt-50)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Branched-chain-amino-acid aminotransferase, cytosolic(bcat-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2(ostd-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative UDP-glucuronosyltransferase ugt-46(ugt-46)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit(ostb-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(dbt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Beta-1,4-mannosyltransferase bre-3(bre-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Purine nucleoside phosphorylase(K02D7.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
DNA-directed RNA polymerase subunit beta(rpoa-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative phosphatidylcholine:ceramide cholinephosphotransferase 3(sms-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Phosphatidylcholine:ceramide cholinephosphotransferase 2(sms-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Palmitoyltransferase(dhhc-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
FarNesylTransferase, Beta subunit(fntb-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
FUcosyl Transferase(fut-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-glucuronosyltransferase(ugt-49)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Elongation of very long chain fatty acids protein(elo-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable glutathione S-transferase gst-36(gst-36)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable RNA methyltransferase Y17G7B.18(Y17G7B.18)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Hypoxanthine PhosphoRibosylTransferase homolog(hprt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-33)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-12(acl-12)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-Glucose Glycoprotein glucosylTransferase(uggt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Hydroxymethylglutaryl-CoA synthase(hmgs-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Glutathione S-Transferase(gst-28)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Aminomethyltransferase(gcst-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable glutathione S-transferase 6(gst-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
DOT1 histone methyltransferase family(dot-1.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
AANAT (Arylalkylamine N-AcetylTransferase) homolog(anat-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Phosphocholine CYtidylylTransferase(pcyt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
ACyLtransferase-like(acl-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Serine hydroxymethyltransferase(mel-32)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Alpha-(1,6)-fucosyltransferase(fut-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Protoheme IX farnesyltransferase, mitochondrial(cox-10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
PhosphatidylInositol SYnthase(pisy-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Beta-1,3-galactosyltransferase bre-2(bre-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Lipoyl synthase, mitochondrial(M01F1.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Threonylcarbamoyladenosine tRNA methylthiotransferase(Y92H12BL.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Tyrosine AminoTraNsferase(tatn-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1(C38H2.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Carnitine Palmitoyl Transferase(cpt-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
O-ACyltransferase homolog(oac-57)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Catechol-O-MethylTransferase family(comt-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Catechol-O-MethylTransferase family(comt-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Palmitoyltransferase(dhhc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Ribosomal RNA small subunit methyltransferase nep-1(Y39A1A.14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Carnitine Palmitoyl Transferase(cpt-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
GLuCuronosylTransferase-like(glct-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Glutathione S-Transferase(gst-22)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
O-linked GlcNAc Transferase(ogt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Phosphatidylcholine:ceramide cholinephosphotransferase 1(sms-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative methyltransferase B0361.6(B0361.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-1(acl-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
DNA-directed RNA polymerase subunit(rpoa-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Glycogenin-1(gyg-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Putative UDP-glucuronosyltransferase ugt-58(ugt-58)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable N-acetylgalactosaminyltransferase 9(gly-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
hypothetical protein(B0395.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
AlkylGuanine DNA alkylTransferase(agt-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Tankyrase-like protein(tank-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable leucine carboxyl methyltransferase 1(B0285.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Probable succinyl-CoA:3-ketoacid coenzyme A transferase, mitochondrial(C05C10.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-glucuronosyltransferase(ugt-62)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
GLYcosylation related(gly-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
UDP-GlucuronosylTransferase(ugt-37)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Alanine--glyoxylate aminotransferase 2-like(T01B11.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Histone-lysine N-methyltransferase mes-2(mes-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Ceramide synthase hyl-2(hyl-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
DNA polymerase(pole-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
DNA polymerase(Y37B11A.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
GTP-binding protein SAR1(sar-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Ras-related protein rab-11.1(rab-11.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
G protein, Subunit Alpha(gsa-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
ADP-ribosylation factor 1-like 2(arf-1.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Elongation factor 2(eef-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
5'-nucleotidase(F25B5.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
hypothetical protein(egl-30)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Protein XRP2(rpi-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Ras-like GTP-binding protein rhoA(rho-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Probable succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial(sucl-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Acyl-CoA dehydrogenase family member 11(acdh-11)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
hypothetical protein(ben-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Elongation factor G, mitochondrial(gfm-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
TuBulin, Beta(tbb-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Dynamin(dyn-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
RAB family(rab-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Tubulin beta-2 chain(tbb-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Uncharacterized GTP-binding protein E02H1.2(E02H1.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
TuBulin, Alpha(tba-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Phenylalanyl Amino-acyl tRNA Synthetase(fars-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Phenylalanyl Amino-acyl tRNA Synthetase(fars-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
hypothetical protein(D2030.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
hypothetical protein(B0303.3)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Malate synthase(icl-1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
AMP-Activated protein Kinase Gamma subunit(aakg-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	
DNA polymerase(Y47D3A.29)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	
DNA polymerase delta catalytic subunit(F10C2.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	
Chromodomain and Helicase Domain protein(chd-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
hypothetical protein(F44E5.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
